Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2005:Q1,pct80to99,23047757,27644561,8748623,1358178,3879071,6563342,2737582,4357764,4596804,3649241,674204,273359
2005:Q1,pct60to80,10062665,12694244,4425878,907339,982893,3648680,771118,1958336,2631580,2012451,600813,18316
2005:Q1,pct40to60,5486003,7132268,2810580,630205,522758,1786637,382264,999824,1646265,1164232,453077,28956
2005:Q1,pct20to40,3164286,3976978,1664946,358478,189488,692063,292975,779028,812692,515899,290432,6361
2005:Q1,pct00to20,1673253,2027203,911550,199829,142208,179362,229150,365104,353949,191441,153022,9486
2005:Q2,pct99to100,12601303,13334966,2676733,511117,3907662,856034,2523497,2859922,733662,562475,33634,137553
2005:Q2,pct80to99,23755587,28501866,9171765,1372403,3985804,6745724,2833387,4392784,4746279,3789389,685298,271592
2005:Q2,pct60to80,10149988,12894605,4538744,918949,1016652,3636057,795282,1988921,2744617,2104695,616024,23898
2005:Q2,pct40to60,5543345,7223747,2841246,637112,521425,1807457,392134,1024373,1680402,1198356,453423,28623
2005:Q2,pct20to40,3235710,4055657,1679055,370079,198893,710321,299980,797330,819947,522707,290545,6695
2005:Q2,pct00to20,1745620,2110962,937840,208633,146956,188864,248372,380296,365342,202076,153465,9801
2005:Q3,pct99to100,13032141,13770141,2726318,505504,4163542,903758,2648636,2822382,737999,569321,34386,134292
2005:Q3,pct80to99,24442185,29339589,9548353,1392687,4174891,6926357,2941388,4355913,4897404,3933393,699902,264109
2005:Q3,pct60to80,10285024,13150946,4696041,929298,1074321,3641518,821220,1988548,2865923,2199120,638535,28268
2005:Q3,pct40to60,5628381,7348304,2912291,644980,523278,1837093,402619,1028043,1719924,1233320,458043,28561
2005:Q3,pct20to40,3343652,4175083,1731104,376011,212203,730716,307604,817446,831431,529672,294805,6954
2005:Q3,pct00to20,1844457,2220247,1002659,209429,152552,199976,268212,387419,375790,213165,152714,9911
2005:Q4,pct99to100,13380882,14112821,2778148,499923,4254691,949393,2733412,2897253,731939,574144,35358,122437
2005:Q4,pct80to99,25106917,30127342,9895664,1415059,4228876,7112924,3062717,4412102,5020426,4062191,713045,245190
2005:Q4,pct60to80,10453607,13431081,4850924,941126,1098189,3629545,833445,2077852,2977474,2283399,659591,34484
2005:Q4,pct40to60,5724249,7479880,2973677,655433,515865,1862705,410492,1061709,1755631,1262686,462170,30775
2005:Q4,pct20to40,3450740,4291699,1772727,382874,220090,750602,305376,860029,840959,534817,298866,7276
2005:Q4,pct00to20,1938477,2325152,1044353,211810,155930,210849,290506,411704,386675,223161,151525,11989
2006:Q1,pct99to100,14173300,14930925,2753977,509970,4869161,996318,2740528,3060971,757625,582517,36314,138794
2006:Q1,pct80to99,25981275,31177736,10035337,1427621,4696804,7264961,3158459,4594555,5196462,4215393,719803,261266
2006:Q1,pct60to80,10341032,13418503,4817278,951493,1227886,3642724,826909,1952213,3077471,2367264,670860,39347
2006:Q1,pct40to60,5751103,7534427,2945805,659096,530367,1894531,412643,1091985,1783324,1293816,461386,28122
2006:Q1,pct20to40,3461301,4311577,1771476,393978,245468,773774,291464,835416,850276,542977,298770,8529
2006:Q1,pct00to20,1984631,2383243,1089208,218698,165544,222879,311115,375799,398612,237574,150452,10586
2006:Q2,pct99to100,14126588,14892727,2760056,502822,4696002,1024611,2778905,3130331,766140,588865,35423,141852
2006:Q2,pct80to99,26218686,31572665,10228139,1448881,4563640,7363837,3285348,4682820,5353979,4363042,729018,261919
2006:Q2,pct60to80,10146002,13335909,4902344,962553,1197976,3583820,821278,1867938,3189907,2466224,678335,45348
2006:Q2,pct40to60,5768755,7584880,2971551,671528,514533,1898768,413841,1114659,1816125,1330028,458134,27963
2006:Q2,pct20to40,3474256,4327832,1796719,400804,245227,789812,272605,822665,853576,549590,294462,9524
2006:Q2,pct00to20,2009805,2423965,1119670,222753,167553,231302,330090,352596,414160,248901,154240,11019
2006:Q3,pct99to100,14437304,15216218,2742099,496019,4875992,1071992,2868525,3161592,778915,591019,35194,152702
2006:Q3,pct80to99,26622431,32123353,10362757,1474592,4703527,7503033,3415423,4664021,5500922,4479031,749223,272668
2006:Q3,pct60to80,10280227,13581785,4965650,975777,1239243,3612220,826407,1962487,3301557,2549952,701871,49734
2006:Q3,pct40to60,5804108,7653504,2992445,681403,511921,1930281,414961,1122493,1849396,1357220,466258,25918
2006:Q3,pct20to40,3554001,4416661,1824977,407611,256674,810286,258060,859054,862661,552446,299538,10677
2006:Q3,pct00to20,2099029,2525269,1160863,223047,173316,242393,343745,381905,426240,256993,159358,9889
2006:Q4,pct99to100,14832293,15637954,2707959,497211,5310698,1123815,2919204,3079067,805661,589555,36396,179710
2006:Q4,pct80to99,27174797,32803052,10458521,1491023,5050669,7686198,3476386,4640256,5628256,4560660,762357,305239
2006:Q4,pct60to80,10465593,13846604,4960187,985571,1330928,3672291,838726,2058901,3381011,2604831,721986,54194
2006:Q4,pct40to60,5836446,7701113,2981130,684656,519594,1968721,420757,1126256,1864668,1370036,471926,22706
2006:Q4,pct20to40,3649223,4519457,1835888,415519,276662,832740,257775,900872,870234,551870,304612,13752
2006:Q4,pct00to20,2199314,2630156,1205319,224528,182472,253511,361332,402994,430841,263299,159440,8102
2007:Q1,pct99to100,15363205,16164654,2645164,505030,5612114,1156928,2918996,3326422,801449,592541,35563,173345
2007:Q1,pct80to99,27892665,33618479,10443230,1499623,5301693,7842285,3589460,4942188,5725813,4671733,763554,290526
2007:Q1,pct60to80,10237937,13671198,4862975,993242,1395244,3659293,820784,1939660,3433261,2662160,714927,56174
2007:Q1,pct40to60,5832384,7704793,2918863,688411,522806,1978879,416188,1179646,1872409,1386506,464368,21535
2007:Q1,pct20to40,3613687,4477748,1816027,425862,292397,848261,227256,867945,864061,555077,295975,13009
2007:Q1,pct00to20,2215586,2664458,1231246,232396,190749,260658,375303,374106,448872,274429,165783,8660
2007:Q2,pct99to100,15553122,16386946,2600211,508847,5779176,1208850,2901862,3388000,833824,593269,36725,203830
2007:Q2,pct80to99,28269660,34143808,10450272,1515973,5452325,8036022,3720417,4968800,5874148,4772923,774597,326628
2007:Q2,pct60to80,10141596,13658522,4820779,1003855,1432565,3724423,796884,1880017,3516926,2727176,733005,56745
2007:Q2,pct40to60,5811824,7699772,2877091,691993,521543,2017587,412451,1179107,1887948,1404700,468080,15168
2007:Q2,pct20to40,3592367,4462602,1803353,435181,303881,871284,191775,857128,870235,556392,299706,14137
2007:Q2,pct00to20,2249759,2701713,1240817,235467,197974,271647,393488,362320,451954,282832,164852,4270
2007:Q3,pct99to100,15817278,16634033,2558127,505697,5818354,1243670,2882361,3625823,816755,591709,37048,187998
2007:Q3,pct80to99,28758371,34723850,10415984,1531235,5523209,8198466,3834377,5220580,5965480,4863095,797750,304635
2007:Q3,pct60to80,10134682,13757700,4796834,1012130,1444058,3737378,775315,1991985,3623018,2796863,762155,64000
2007:Q3,pct40to60,5800845,7723899,2832033,698025,519312,2030402,409066,1235061,1923054,1423276,480449,19329
2007:Q3,pct20to40,3591287,4472172,1782940,442105,311503,886182,158292,891150,880885,555739,308660,16486
2007:Q3,pct00to20,2275344,2742435,1218975,238164,205287,278141,410614,391255,467092,288766,169490,8836
2007:Q4,pct99to100,15397803,16238763,2535992,507561,5397296,1216466,2838744,3742705,840960,600640,38770,201550
2007:Q4,pct80to99,28682998,34726380,10291473,1542829,5342471,8298264,3841765,5409578,6043382,4906054,812952,324376
2007:Q4,pct60to80,10021449,13660833,4672893,1015488,1351008,3727993,755216,2138236,3639384,2800869,772613,65902
2007:Q4,pct40to60,5760246,7716396,2799470,709787,517574,2020303,403696,1265566,1956150,1445048,492780,18322
2007:Q4,pct20to40,3573468,4478802,1769785,448402,298662,879023,145379,937550,905334,570808,316638,17888
2007:Q4,pct00to20,2323910,2811245,1222071,249875,216299,272859,419534,430608,487336,301565,175724,10047
2008:Q1,pct99to100,14657454,15524736,2416006,498339,4786000,1154754,2615007,4054630,867282,607857,37819,221606
2008:Q1,pct80to99,28315468,34418681,9940923,1559844,5065069,8323377,3650274,5879194,6103213,4933899,817433,351881
2008:Q1,pct60to80,9440413,13058591,4460961,1019522,1218037,3655519,739765,1964787,3618178,2795752,755050,67376
2008:Q1,pct40to60,5731040,7700973,2750932,730065,519356,1961549,412209,1326861,1969932,1461857,491719,16356
2008:Q1,pct20to40,3488776,4402396,1772438,452469,279662,855141,164532,878153,913619,584207,309982,19430
2008:Q1,pct00to20,2347341,2861915,1278741,262244,228011,257418,447102,388398,514574,313025,190004,11545
2008:Q2,pct99to100,14055324,14896571,2346888,483773,4489595,1133431,2423446,4019437,841246,617352,42666,181228
2008:Q2,pct80to99,28007460,34064684,9629961,1578712,4951306,8438119,3499508,5967078,6057225,4947616,817089,292520
2008:Q2,pct60to80,9173712,12731425,4337769,1022144,1149131,3660108,721357,1840916,3557713,2733639,753847,70227
2008:Q2,pct40to60,5716521,7694107,2712300,744232,517077,1960670,417709,1342119,1977586,1455944,499776,21866
2008:Q2,pct20to40,3421138,4354517,1760009,452829,270053,852092,182351,837183,933379,598588,317729,17062
2008:Q2,pct00to20,2317573,2854778,1257931,266117,237452,254117,470719,368442,537205,329731,189347,18127
2008:Q3,pct99to100,13185659,14081709,2330260,478139,3730664,1086570,2282549,4173527,896050,615113,41038,239899
2008:Q3,pct80to99,27463693,33587188,9391594,1587273,4421903,8435331,3509919,6241168,6123496,4915195,830741,377560
2008:Q3,pct60to80,8707043,12249409,4222873,1021713,986077,3552603,682431,1783712,3542366,2723442,747358,71566
2008:Q3,pct40to60,5635298,7620982,2648962,757052,489231,1909853,417293,1398591,1985684,1464721,504305,16658
2008:Q3,pct20to40,3280054,4221998,1712031,455905,243117,821998,166612,822335,941944,603782,314944,23218
2008:Q3,pct00to20,2232787,2788740,1173429,276686,236221,241670,494423,366310,555953,331624,205427,18902
2008:Q4,pct99to100,11670218,12433572,2275487,468919,2651853,989000,2048505,3999808,763354,612668,41259,109427
2008:Q4,pct80to99,26457559,32366960,9164427,1576351,3644465,8407866,3331032,6242819,5909401,4869487,834841,205073
2008:Q4,pct60to80,8421068,11938057,4051849,1009198,749927,3348307,650495,2128280,3516989,2688977,736128,91884
2008:Q4,pct40to60,5457513,7468362,2592512,766009,450273,1781134,416724,1461710,2010849,1463164,504991,42694
2008:Q4,pct20to40,3251166,4192952,1688424,454930,201743,761534,170492,915828,941785,608418,311684,21683
