Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1995:Q1,Bottom50,3.5,8.2,14.8,24,1.6,4.1,1.7,5.7,36.9,31.7,54.1,32.5
1995:Q2,Top1,28,24.6,10.1,14.5,50.5,8.6,52.9,33.9,4.4,4.4,1.2,18.7
1995:Q2,Next9,33.4,30.9,25.8,20.1,32.8,41.2,28.9,30.1,15.9,18.5,7.5,18.6
1995:Q2,Next40,34.9,35.9,48.1,41.3,15.1,46.1,16.5,30.3,42.1,44.8,37,28.8
1995:Q2,Bottom50,3.7,8.5,16,24.1,1.6,4.2,1.7,5.8,37.6,32.3,54.3,33.9
1995:Q3,Top1,28.3,24.9,9.7,14.4,50.9,8.6,53.4,34.4,4.4,4.5,1,17.3
1995:Q3,Next9,33.3,30.8,25.7,20.3,32.7,41.1,28.6,29.7,15.7,18.3,7.4,19.2
1995:Q3,Next40,34.6,35.6,47.7,41.1,14.8,46.1,16.4,30.2,41.8,44.4,37.1,28.3
1995:Q3,Bottom50,3.8,8.7,16.9,24.2,1.5,4.2,1.7,5.7,38.1,32.8,54.5,35.2
1995:Q4,Top1,28.5,25.1,9.8,14.3,50.4,8.8,53.3,34.3,4.4,4.5,0.9,19.4
1995:Q4,Next9,33.3,30.8,25.8,20.4,32.9,40.7,28.4,29.6,15.6,18.2,7.6,18.4
1995:Q4,Next40,34.5,35.6,47.7,41.3,15.1,46.2,16.6,30.4,42.2,44.9,37.2,29.2
1995:Q4,Bottom50,3.7,8.5,16.7,24.1,1.6,4.2,1.7,5.7,37.8,32.4,54.3,33
1996:Q1,Top1,28.4,25,9.9,14.1,49.8,8.8,53,34.1,4.5,4.5,1.1,18.5
1996:Q1,Next9,33.4,30.9,26.1,20.4,33.2,40.5,28.3,29.8,15.9,18.1,7.9,23
1996:Q1,Next40,34.5,35.6,47.5,41.5,15.5,46.4,17.1,30.4,42.2,45.3,36.8,27.3
1996:Q1,Bottom50,3.7,8.4,16.5,24,1.6,4.2,1.7,5.6,37.4,32.1,54.2,31.3
1996:Q2,Top1,28.3,25,10,13.8,49.3,8.9,52.7,34,4.6,4.6,1.1,19.9
1996:Q2,Next9,33.4,30.9,25.9,20.7,33.4,40.4,28.2,29.9,16.1,18.3,8.1,23
1996:Q2,Next40,34.7,35.8,47.7,41.7,15.7,46.4,17.4,30.6,42.5,45.6,36.8,27.8
1996:Q2,Bottom50,3.6,8.3,16.3,23.8,1.6,4.2,1.7,5.5,36.9,31.5,54,29.3
1996:Q3,Top1,28.2,24.8,10.1,13.5,48.7,9,52.7,33.7,4.7,4.6,1.1,21.3
1996:Q3,Next9,33.3,30.9,25.9,20.9,33.5,40.3,27.7,29.9,16.3,18.5,8.3,23.2
