"0160C1210","totalt ålder",1
"0160C1220","totalt ålder",13
"0160C1230","totalt ålder",7
"0160C1240","totalt ålder",2
"0160C1250","totalt ålder",3
"0160C1260","totalt ålder",5
"0160C1270","totalt ålder",4
"0160C1280","totalt ålder",3
"0160C1290","totalt ålder",17
"0160C1300","totalt ålder",3
"0160C1310","totalt ålder",2
"0160C1320","totalt ålder",5
"0160C1330","totalt ålder",4
"0160C1340","totalt ålder",6
"0160C1350","totalt ålder",3
"0160C1360","totalt ålder",6
"0160C1370","totalt ålder",3
"0160C1380","totalt ålder",3
"0162C1010","totalt ålder",5
"0162C1020","totalt ålder",6
"0162C1030","totalt ålder",2
"0162C1040","totalt ålder",16
"0162C1050","totalt ålder",6
"0162C1060","totalt ålder",11
"0162C1070","totalt ålder",7
"0162C1080","totalt ålder",8
"0162C1090","totalt ålder",7
"0162C1100","totalt ålder",9
"0162C1110","totalt ålder",3
"0162C1120","totalt ålder",6
"0162C1130","totalt ålder",2
"0162C1140","totalt ålder",6
"0162C1150","totalt ålder",5
"0162C1160","totalt ålder",11
"0162C1170","totalt ålder",4
"0162C1180","totalt ålder",4
"0162C1190","totalt ålder",4
"0162C1200","totalt ålder",2
"0163C1010","totalt ålder",1
"0163C1020","totalt ålder",4
"0163C1030","totalt ålder",16
"0163C1040","totalt ålder",7
"0163C1050","totalt ålder",2
"0163C1060","totalt ålder",4
"0163C1070","totalt ålder",6
"0163C1080","totalt ålder",1
"0163C1090","totalt ålder",38
"0163C1100","totalt ålder",20
"0163C1110","totalt ålder",3
"0163C1120","totalt ålder",33
"0163C1130","totalt ålder",3
"0163C1140","totalt ålder",4
"0163C1150","totalt ålder",10
"0163C1160","totalt ålder",14
"0163C1170","totalt ålder",9
"0163C1180","totalt ålder",8
"0163C1190","totalt ålder",5
"0163C1200","totalt ålder",5
"0163C1210","totalt ålder",5
"0163C1220","totalt ålder",9
"0163C1230","totalt ålder",7
"0163C1240","totalt ålder",10
"0163C1250","totalt ålder",29
"0163C1260","totalt ålder",33
"0163C1270","totalt ålder",19
"0163C1280","totalt ålder",2
"0163C1290","totalt ålder",5
"0163C1300","totalt ålder",4
"0163C1310","totalt ålder",3
"0163C1320","totalt ålder",3
"0163C1330","totalt ålder",7
"0163C1340","totalt ålder",4
"0163C1350","totalt ålder",22
"0163C1360","totalt ålder",6
"0163C1370","totalt ålder",12
"0163C1380","totalt ålder",2
"0163C1390","totalt ålder",24
"0163C1400","totalt ålder",19
"0180C1010","totalt ålder",24
"0180C1020","totalt ålder",23
"0180C1030","totalt ålder",8
"0180C1040","totalt ålder",14
"0180C1050","totalt ålder",10
"0180C1060","totalt ålder",12
"0180C1070","totalt ålder",27
"0180C1080","totalt ålder",13
"0180C1090","totalt ålder",15
"0180C1100","totalt ålder",18
"0180C1110","totalt ålder",7
"0180C1120","totalt ålder",27
"0180C1130","totalt ålder",23
"0180C1140","totalt ålder",22
"0180C1150","totalt ålder",21
"0180C1160","totalt ålder",24
"0180C1170","totalt ålder",7
"0180C1180","totalt ålder",22
"0180C1190","totalt ålder",12
"0180C1200","totalt ålder",30
"0180C1210","totalt ålder",14
"0180C1220","totalt ålder",18
"0180C1230","totalt ålder",36
"0180C1240","totalt ålder",13
"0180C1250","totalt ålder",16
"0180C1260","totalt ålder",19
"0180C1270","totalt ålder",6
"0180C1280","totalt ålder",17
"0180C1290","totalt ålder",17
"0180C1300","totalt ålder",28
"0180C1310","totalt ålder",12
"0180C1320","totalt ålder",20
"0180C1330","totalt ålder",28
"0180C1340","totalt ålder",24
"0180C1350","totalt ålder",9
"0180C1360","totalt ålder",20
"0180C1370","totalt ålder",16
"0180C1380","totalt ålder",20
"0180C1390","totalt ålder",13
"0180C1400","totalt ålder",12
"0180C1410","totalt ålder",14
"0180C1420","totalt ålder",4
"0180C1430","totalt ålder",1
"0180C1440","totalt ålder",14
"0180C1450","totalt ålder",14
"0180C1460","totalt ålder",15
"0180C1470","totalt ålder",20
"0180C1480","totalt ålder",14
"0180C1490","totalt ålder",25
"0180C1500","totalt ålder",16
"0180C1510","totalt ålder",31
"0180C1520","totalt ålder",18
"0180C1530","totalt ålder",13
"0180C1540","totalt ålder",15
"0180C1550","totalt ålder",2
"0180C1560","totalt ålder",32
"0180C1570","totalt ålder",13
"0180C1580","totalt ålder",12
"0180C1590","totalt ålder",29
"0180C1600","totalt ålder",30
"0180C1610","totalt ålder",14
"0180C1620","totalt ålder",2
"0180C1630","totalt ålder",5
"0180C1640","totalt ålder",5
"0180C1650","totalt ålder",3
"0180C1660","totalt ålder",36
"0180C1670","totalt ålder",2
"0180C1680","totalt ålder",38
"0180C1690","totalt ålder",10
"0180C1700","totalt ålder",2
"0180C1710","totalt ålder",12
"0180C1720","totalt ålder",27
"0180C1730","totalt ålder",24
"0180C1740","totalt ålder",7
"0180C1750","totalt ålder",13
"0180C1760","totalt ålder",12
"0180C1770","totalt ålder",6
"0180C1780","totalt ålder",30
"0180C1790","totalt ålder",6
"0180C1800","totalt ålder",17
"0180C1810","totalt ålder",3
"0180C1820","totalt ålder",2
"0180C1830","totalt ålder",4
"0180C1840","totalt ålder",8
"0180C1850","totalt ålder",7
"0180C1860","totalt ålder",20
"0180C1870","totalt ålder",13
"0180C1880","totalt ålder",7
"0180C1890","totalt ålder",4
"0180C1900","totalt ålder",17
"0180C1910","totalt ålder",31
"0180C1920","totalt ålder",6
"0180C1930","totalt ålder",7
"0180C1940","totalt ålder",16
"0180C1950","totalt ålder",13
"0180C1960","totalt ålder",6
