RefNo,Name,COUNTRY,REGION,Constituency/District,Year First Elected/Appointed,Out/Not Out (When First Elected),Year Out,Year Leaving Office,LGBTQ,Gender Identity,Party Affiliation,Party Ideology Family,Legislative Body,Level of Government,Position,Biography/Website,Elected/Appointed,City,State,Age,Current,Source,Race/Ethnicity
436,Daniele Capezzone,Italy,western Europe,Piedmont,2006,Out,2006,2008,Bisexual,#N/A,Italian Radicals,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
476,Alfonso Pecoraro Scanio,Italy,western Europe,"Naples, Campania 1, Campania 2",1992,Not Out,2000,2013,Bisexual,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
477,Paola Concia,Italy,western Europe,Puglia,2008,Out,2008,2013,Lesbian,#N/A,Democrats,Left,MP,Parliament,,http://www.pecoraroscanio.it/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
478,Titti de Simone,Italy,western Europe,Campania 1 and Emilia-Romagna,2001,Out,2001,2013,Lesbian,#N/A,Rifondazione Comunista,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
622,Angelo Pezzana,Italy,western Europe,Piedmont,1979,Out,1979,#N/A,Gay,#N/A,Italian Radicals,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
623,Ivan Scalfarotto,Italy,western Europe,Puglia,2013,Out,2013,#N/A,Gay,#N/A,Democratic Party,Left,MP,Parliament,,https://www.ivanscalfarotto.it/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
624,Alessandro Zan,Italy,western Europe,Veneto 2,2013,Out,2013,#N/A,Gay,#N/A,Democratic Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1125,Barbara Masini,Italy,Western Europe,Tuscany,2018,Not Out,2021,#N/A,Lesbian,#N/A,Force of Italy,Center Right,Senator,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,White
214,Kanako Otsuji,Japan,Asia,National PR,2013,#N/A,#N/A,#N/A,Lesbian,#N/A,Constitutional Democratic Party,Left,Japanese Senate,Parliament,,#N/A,Appointed,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
627,Kanako Otsuji,Japan,Asia,Kinki PR block,2017,Out,2017,#N/A,Lesbian,#N/A,Constitutional Democratic Party,Left,MP,Parliament,,https://otsuji.club/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
628,Ishikawa Taiga,Japan,Asia,National,2019,Out,2019,#N/A,Gay,#N/A,Constitutional Democratic Party,Left,MP,Parliament,,http://www.taigaweb.jp/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45,Edgars Rinkēvičs,Latvia,East/Central Europe,#N/A,2011,#N/A,#N/A,#N/A,Gay,#N/A,Unity,Center Right,Cabinet Ministers,Executive,Foreign Affairs,https://www.mfa.gov.lv/en/about-the-ministry/minister-of-foreign-affairs/edgars-rinkevics,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
625,Patrick Risch,Liechtenstein,western Europe,#N/A,2013,Out,2013,#N/A,Gay,#N/A,Free List,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
626,Daniel Seger,Liechtenstein,western Europe,#N/A,2017,Out,2017,#N/A,Gay,#N/A,Progressive Citizen's Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
629,Rokas Žilinskas,Lithuania,East/Central Europe,#N/A,2008,Not Out,2009,#N/A,Gay,#N/A,NRP/Homeland,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46,Etienne Schneider,Luxembourg,Western Europe,#N/A,2013,#N/A,#N/A,#N/A,Gay,#N/A,Socialist Workers Party,Left,Cabinet Ministers,Executive,Deputy Prime Minister,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47,Xavier Bettel,Luxembourg,Western Europe,#N/A,2013,#N/A,#N/A,#N/A,Gay,#N/A,Democratic Party,Center Right,Cabinet Ministers,Executive,Prime Minister,https://gouvernement.lu/en/gouvernement/xavier-bettel.html,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
78,Etienne Schneider,Luxembourg,Western Europe,#N/A,2012,#N/A,#N/A,2013,Gay,#N/A,Socialist Workers Party,Left,Cabinet Ministers,Executive,Economy and Foreign Trade,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
630,Xavier Bettel,Luxembourg,western Europe,#N/A,1999,Out,1999,#N/A,Gay,#N/A,Democratic Party,Center Right,MP,Parliament,,https://gouvernement.lu/fr/gouvernement/xavier-bettel.html,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
631,Karl Gouder,Malta,western Europe,#N/A,2016,Out,2016,#N/A,Gay,#N/A,Nationalist Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
210,Patria Jimenez,Mexico,Central America,Federal District,2006,#N/A,#N/A,#N/A,Lesbian,#N/A,Party of the Democratic Revolution,Left,Mexican Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
211,Citlalli Hernández Mora,Mexico,Central America,Mexico City,2018,#N/A,#N/A,#N/A,Lesbian,#N/A,National Regeneration Movement,Left,Mexican Senate,Parliament,,https://www.citlallihernandez.mx/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
407,Patria Jimenez,Mexico,Central America,#N/A,1997,Out,1997,2000,Lesbian,#N/A,Party of the Democratic Revolution,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
442,David Sanchez Camacho,Mexico,Central America,#N/A,2006,Out,2006,2009,Gay,#N/A,Party of the Democratic Revolution,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
525,Enoé Uranga,Mexico,Central America,#N/A,2009,Out,2009,2018,Lesbian,#N/A,Party of the Democratic Revolution,Left,MP,Parliament,,http://enoeuranga.org/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
526,Benjamín Medrano Quezada,Mexico,Central America,Zacatecas,2015,Out,2015,2018,Gay,#N/A,Institutional Revolutionary Party,Center Right,MP,Parliament,,http://www.benjaminmedrano.mx/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
632,Temístocles Villanueva,Mexico,Central America,#N/A,2018,Out,2018,#N/A,Gay,#N/A,National Regeneration Movement,Left,MP,Parliament,,https://www.temistoclesvillanueva.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
633,Celeste Ascencio,Mexico,Central America,#N/A,2018,Out,2018,#N/A,Lesbian,#N/A,National Regeneration Movement,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
634,Ana Lucia Riojas Martinez,Mexico,Central America,#N/A,2018,Out,2018,#N/A,Lesbian,#N/A,Independent,Independent,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1120,Roshell Terranova,Mexico,North America,#N/A,2021,Out,#N/A,#N/A,Transgender,#N/A,Independent,Independent,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,LatinX
1126,Salma Luevano,Mexico,North America,,2021,Out,2021,#N/A,Transgender,#N/A,MORENA,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1126,Maria Clemente Garcia,Mexico,North America,,2021,Out,2021,#N/A,Transgender,#N/A,MORENA,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
461,Sunil Babu Pant,Nepal,Asia,#N/A,2008,Out,2008,2012,Gay,#N/A,Communist Party Nepal-U,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
80,Jan Kees de Jager,Netherlands,Western Europe,#N/A,2010,#N/A,#N/A,2012,Gay,#N/A,Christian Democratic Appeal,Center Right,Cabinet Ministers,Executive,Finance,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
88,Gerda Verburg,Netherlands,Western Europe,#N/A,2007,#N/A,#N/A,2010,Lesbian,#N/A,Christian Democratic Appeal,Center Right,Cabinet Ministers,Executive,"Agriculture, Nature and Food",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
98,Joop Wijn,Netherlands,Western Europe,#N/A,2006,#N/A,#N/A,2007,Gay,#N/A,Christian Democratic Appeal,Center Right,Cabinet Ministers,Executive,Finance and Deregulation,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
105,Joop Wijn,Netherlands,Western Europe,#N/A,2002,#N/A,#N/A,2003,Gay,#N/A,Christian Democratic Appeal,Center Right,Cabinet Ministers,Executive,Economic Affairs,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
139,Herman Verbeek,Netherlands,Western Europe,#N/A,1989,Out,1989,#N/A,Gay,#N/A,Political Party of Radicals,Green,European Parliament,Multi-State Legislature,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
140,Dennis de Jong,Netherlands,Western Europe,#N/A,2009,Out,2009,#N/A,Gay,#N/A,Socialist Party,Left,European Parliament,Multi-State Legislature,,https://www.europarl.europa.eu/meps/en/96748/DENNIS_DE+JONG/history/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
141,Wim van der Kamp,Netherlands,Western Europe,#N/A,2009,Out,2009,#N/A,Gay,#N/A,Christian Democratic Appeal,Center Right,European Parliament,Multi-State Legislature,,https://www.europarl.europa.eu/meps/en/96754/WIM_VAN+DE+CAMP/history/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
212,Gerard Schouw,Netherlands,Western Europe,#N/A,2003,#N/A,#N/A,2010,Gay,#N/A,Democrats 66,Center,Dutch Senate,Parliament,,#N/A,Elected (Indirect),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
280,Roland van Benthem,Netherlands,Western Europe,#N/A,2005,#N/A,#N/A,#N/A,Gay,Male,People's Party for Freedom and Democracy VVD,Center Right,#N/A,Mayor,Mayor,#N/A,#N/A,Eemnes,#N/A,52,yes,https://www.coc.nl/jouw-belangen/oud-penningmeester-wordt-burgemeester-eemnes,#N/A
281,Onno Hoes,Netherlands,Western Europe,#N/A,2017,#N/A,#N/A,#N/A,Gay,Male,Labour Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Haarlemmermeer,#N/A,59,yes,https://en.wikipedia.org/wiki/Onno_Hoes,#N/A
322,"Arnoud Adrianus Maria ""Arno"" Brok",Netherlands,Western Europe,#N/A,2003,#N/A,#N/A,2017,Gay,#N/A,People's Party for Freedom and Democracy,Center Right,#N/A,Mayor,Mayor,#N/A,#N/A,Sneek and Dordrecht,#N/A,52,no,https://en.wikipedia.org/wiki/Arno_Brok,#N/A
374,Jan Franssen,Netherlands,Western Europe,#N/A,1993,#N/A,#N/A,2000,Gay,Male,People's Party for Freedom and Democracy,Center Right,#N/A,Mayor,Mayor,#N/A,#N/A,Zwolle,#N/A,69,no,https://web.archive.org/web/20110725140132/http://www.glli.org/out_officials/profile/officials%3A2376,#N/A
378,Ien Dales,Netherlands,Western Europe,#N/A,1985,#N/A,#N/A,1989,Bisexual,Woman,Labour Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Nijmegen,#N/A,Dead,no,https://en.wikipedia.org/wiki/Ien_Dales,#N/A
387,Kajsa Ollongreen,Netherlands,Western Europe,#N/A,2017,#N/A,#N/A,#N/A,Lesbian,Woman,Democrats 66,Center,#N/A,Mayor,Mayor,#N/A,#N/A,Amsterdamn,#N/A,53,#N/A,https://en.wikipedia.org/wiki/Kajsa_Ollongren,#N/A
389,Coos Huijsen,Netherlands,Western Europe,#N/A,1972,Not Out,1976,1977,Gay,#N/A,Christian Historical Union,Center Right,MP,Parliament,,http://www.huijsen.nl/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
392,Evelien Eshuis,Netherlands,Western Europe,#N/A,1982,Out,1982,1986,Lesbian,#N/A,Communist Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
398,Peter Lankhorst,Netherlands,Western Europe,#N/A,1981,Out,1981,1994,Gay,#N/A,Political Party of Radicals,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
399,Jan Franssen,Netherlands,Western Europe,North Holland,1982,Out,1982,1994,Gay,#N/A,People's Party for Freedom and Democracy VVD,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
404,Anne Lize van der Stoel,Netherlands,Western Europe,#N/A,1994,Out,1994,1998,Lesbian,#N/A,People's Party for Freedom and Democracy VVD,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
414,Peter Rehwinkel,Netherlands,Western Europe,#N/A,1995,Out,1995,2002,Gay,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
419,Clemens Cornielje,Netherlands,Western Europe,#N/A,1994,Out,1994,2005,Gay,#N/A,People's Party for Freedom and Democracy VVD,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
424,Boris Dittrich,Netherlands,western Europe,#N/A,1994,Out,1994,2006,Gay,#N/A,Democrats 66,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
425,Jose Smits,Netherlands,western Europe,#N/A,1998,Out,1998,2006,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
429,Joop Wijn,Netherlands,western Europe,#N/A,1998,Out,1998,2007,Gay,#N/A,Christian Democratic Appeal,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
443,Wim van de Camp,Netherlands,western Europe,#N/A,1986,Out,1986,2009,Gay,#N/A,Christian Democratic Appeal,Center Right,MP,Parliament,,https://www.europarl.europa.eu/meps/en/96754/WIM_VAN+DE+CAMP/history/8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
446,Krista van Velzen,Netherlands,western Europe,#N/A,2002,Out,2002,2010,Bisexual,#N/A,Socialist Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
447,Jan Kees de Jager,Netherlands,western Europe,#N/A,2010,Out,2010,2010,Gay,#N/A,Christian Democratic Appeal,Center Right,MP,Parliament,,http://jankeesdejager.nl/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
456,Gerda Verburg,Netherlands,western Europe,#N/A,1998,Out,1998,2011,Lesbian,#N/A,Christian Democratic Appeal,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
462,Boris van der Ham,Netherlands,western Europe,#N/A,2002,Out,2002,2012,Gay,#N/A,Democrats 66,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
463,Ger Koopmans,Netherlands,western Europe,#N/A,1992,Out,1992,2012,Gay,#N/A,Christian Democratic Appeal,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
497,Gerard Schouw,Netherlands,western Europe,#N/A,2010,Out,2010,2015,Gay,#N/A,Democrats 66,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
519,Manon Fokke,Netherlands,western Europe,#N/A,2012,Out,2012,2017,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
520,Astrid Oosenbrug,Netherlands,western Europe,#N/A,2012,Out,2012,2017,Bisexual,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
521,Eric Smaling,Netherlands,western Europe,#N/A,2013,Out,2013,2017,Gay,#N/A,Socialist,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
522,Jeroen Van Wijngaarden,Netherlands,western Europe,#N/A,2014,Out,2014,2017,Gay,#N/A,People's Party for Freedom and Democracy,Center Right,MP,Parliament,,https://jeroenvanwijngaarden.vvd.nl/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
635,Mark Harbers,Netherlands,western Europe,Rotterdam,2009,Out,2009,#N/A,Gay,#N/A,People's Party for Freedom and Democracy,Center Right,MP,Parliament,,https://www.tweedekamer.nl/kamerleden_en_commissies/alle_kamerleden/harbers-mgj-vvd,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
636,Henk Krol,Netherlands,western Europe,Eindhoven,2012,Out,2012,#N/A,Gay,#N/A,50 Plus,Radical Right,MP,Parliament,,http://www.henkkrol.nl/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
637,Vera Bergkamp,Netherlands,western Europe,Amsterdam,2012,Out,2012,#N/A,Lesbian,#N/A,Democrats 66,Center,MP,Parliament,,https://d66.nl/mensen/vera-bergkamp/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
638,Henk Nijboer,Netherlands,western Europe,Groningen,2012,Out,2012,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.pvda.nl/politici/henk-nijboer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
639,Hanke Bruins-Slot,Netherlands,western Europe,#N/A,2010,Out,2010,#N/A,Lesbian,#N/A,Christian Democratic Appeal,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
640,Sjoerd Potters,Netherlands,western Europe,#N/A,2017,Out,2017,#N/A,Gay,#N/A,People's Party for Freedom and Democracy VVD,Center Right,MP,Parliament,,https://www.debilt.nl/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
641,Rob Jetten,Netherlands,western Europe,Ubbergen,2017,Out,2017,#N/A,Gay,#N/A,Democrats 66,Center ,MP,Parliament,,https://d66.nl/mensen/rob-jetten/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1088,Marieke Koekkoek,Netherlands,western Europe,#N/A,2021,Out,#N/A,#N/A,Bisexual,Woman,VOLT,Center,MP,Parliament,,https://www.tweedekamer.nl/node/8058/biografie,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1089,Jacqueline van den Hil,Netherlands,western Europe,#N/A,2021,Out,#N/A,#N/A,Lesbian,Woman,People's Party for Freedom and Democracy VVD,Center Right,MP,Parliament,,https://www.tweedekamer.nl/node/8073/biografie,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1090,Thom van Campen,Netherlands,western Europe,#N/A,2021,Out,#N/A,#N/A,Gay,Man,People's Party for Freedom and Democracy VVD,Center Right,MP,Parliament,,https://www.tweedekamer.nl/node/8072/biografie,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1091,Alexander Hammelburg,Netherlands,western Europe,#N/A,2021,Out,#N/A,#N/A,Gay,Man,Democrats 66,Center,MP,Parliament,,https://www.tweedekamer.nl/node/8044/biografie,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1092,Lisa van Ginneken,Netherlands,western Europe,#N/A,2021,Out,#N/A,#N/A,Transgender,Trans/Woman,Democrats 66,Center,MP,Parliament,,https://www.tweedekamer.nl/node/8079/biografie,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1093,Sidney Smeets,Netherlands,western Europe,#N/A,2021,Out,#N/A,#N/A,Gay,Man,Democrats 66,Center,MP,Parliament,,https://www.tweedekamer.nl/node/8068/biografie,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
1094,Raoul Boucke,Netherlands,western Europe,#N/A,2021,Out,#N/A,#N/A,Gay,Man,Democrats 66,Center,MP,Parliament,,https://www.tweedekamer.nl/node/8025/biografie,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,Latinx
1095,Tom Van den Nieuwenhuijzen,Netherlands,western Europe,#N/A,2020,Out,#N/A,2021,Gay,Man,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,White
48,Grant Robertson,New Zealand,Australasia,#N/A,2017,#N/A,#N/A,#N/A,Gay,#N/A,Labour Party,Left,Cabinet Ministers,Executive,Finance,https://www.labour.org.nz/grantrobertson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
64,Chris Finlayson,New Zealand,Australasia,#N/A,2008,#N/A,#N/A,2017,Gay,#N/A,National Party,Center Right,Cabinet Ministers,Executive,Attorney General,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
65,Chris Finlayson,New Zealand,Australasia,#N/A,2008,#N/A,#N/A,2017,Gay,#N/A,National Party,Center Right,Cabinet Ministers,Executive,Arts and Culture,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
96,Chris Carter,New Zealand,Australasia,#N/A,2007,#N/A,#N/A,2008,Gay,#N/A,Labour Party,Left,Cabinet Ministers,Executive,Education,https://www.parliament.nz/en/mps-and-electorates/former-members-of-parliament/carter-chris/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
97,Maryan Street,New Zealand,Australasia,#N/A,2007,#N/A,#N/A,2008,Lesbian,#N/A,Labour Party,Left,Cabinet Ministers,Executive,Housing,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
99,Chris Carter,New Zealand,Australasia,#N/A,2005,#N/A,#N/A,2007,Gay,#N/A,Labour Party,Left,Cabinet Ministers,Executive,Building,https://www.parliament.nz/en/mps-and-electorates/former-members-of-parliament/carter-chris/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
102,Chris Carter,New Zealand,Australasia,#N/A,2004,#N/A,#N/A,2005,Gay,#N/A,Labour Party,Left,Cabinet Ministers,Executive,Housing,https://www.parliament.nz/en/mps-and-electorates/former-members-of-parliament/carter-chris/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
375,Georgina Beyer,New Zealand,Australasia,#N/A,1995,#N/A,#N/A,2000,Transgender,Trans/Woman,Labour Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Carterton,#N/A,62,no,https://www.nzherald.co.nz/trailblazers/news/trailblazers-georgina-beyer/BPF7DS2A5K2VK562AZB4XEII74/,#N/A
430,Georgina Beyer,New Zealand,Australasia,Wairarapa,1999,Out,1999,2007,Transgender,Woman,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
437,Tim Barnett,New Zealand,Australasia,Christchurch Central,1996,Out,1996,2008,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://web.archive.org/web/20090308035013/http://timbarnett.org.nz/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
457,Chris Carter,New Zealand,Australasia,Te Atatu,1993,Out,1993,2011,Gay,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
479,Charles Chauvel,New Zealand,Australasia,Labour Party List,2006,Out,2006,2013,Gay,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
484,Maryan Street,New Zealand,Australasia,Nelson,2005,Out,2005,2014,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
485,Claudette Hauiti,New Zealand,Australasia,Māngere,2013,Out,2013,2014,Lesbian,#N/A,National Party,Center Right,MP,Parliament,,https://www.nzonscreen.com/profile/claudette-hauiti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
513,Kevin Hague,New Zealand,Australasia,West Coast - Tasman,2008,Out,2008,2016,Gay,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
523,Paul Foster-Bell,New Zealand,Australasia,Wellington Central,2013,Not Out,2016,2017,Gay,#N/A,National Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
541,Chris Finlayson,New Zealand,Australasia,National Party List,2005,Out,2005,2019,Gay,#N/A,National Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
642,Lousia Wall,New Zealand,Australasia,Manurewa,2008,Out,2008,#N/A,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
643,Grant Robertson,New Zealand,Australasia,Wellington Central,2008,Out,2008,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.labour.org.nz/grantrobertson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
644,Jan Logie,New Zealand,Australasia,Mana,2011,Out,2011,#N/A,Lesbian,#N/A,Green Party,Left,MP,Parliament,,https://www.greens.org.nz/jan_logie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
645,Meka Whaitiri,New Zealand,Australasia,Ikaroa-Rāwhiti,2013,Out,2013,#N/A,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/whaitiri-meka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
646,Tamati Coffey,New Zealand,Australasia,Waiariki,2017,Out,2017,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.labour.org.nz/tamaticoffey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
647,Kiri Allan,New Zealand,Australasia,East Coast,2017,Out,2017,#N/A,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,https://www.labour.org.nz/kiriallan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
648,Chloe Swarbrick,New Zealand,Australasia,Auckland Central,2017,Not Out,2019,#N/A,Bisexual,#N/A,Green Party,Left,MP,Parliament,,https://www.greens.org.nz/chloe_swarbrick,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
649,Ayesha Verrall,New Zealand,Australasia,Labour Party List,2020,Out,2020,#N/A,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
650,Shanan Halbert,New Zealand,Australasia,Northcote,2020,Out,2020,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.labour.org.nz/shananhalbert,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
651,Tangi Utikere,New Zealand,Australasia,Palmerston North,2020,Out,2020,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.labour.org.nz/tangiutikere,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
